plant_number,plant_name,image_path,image_file_name,companion_plants,antagonists,insect_repellent,category,type
1,Aaprottimaruna,https://taikametsa2.netlify.app/starden/assets/images/aaprottimaruna.png,aaprottimaruna.png,Aprikoosi,,,,yrtti ja mauste
2,Aitokissanminttu,https://taikametsa2.netlify.app/starden/assets/images/aitokissanminttu.png,aitokissanminttu.png,"Peruna, Laventeli, Rosmariini, Salvia, Minttu",,Muurahaiset,,yrtti ja mauste
3,Aprikoosi,https://taikametsa2.netlify.app/starden/assets/images/aprikoosi.png,aprikoosi.png,,,,,hedelmäpuu
4,Artisokka,https://taikametsa2.netlify.app/starden/assets/images/artisokka.png,artisokka.png,,,,,vihannes
5,Auringonkukka,https://taikametsa2.netlify.app/starden/assets/images/auringonkukka.png,auringonkukka.png,"Aprikoosi, Bushinpavut, Ruusukaali, Kurkku, Kurpitsa, Kesäkurpitsa",,,,kukka
6,Basilika,https://taikametsa2.netlify.app/starden/assets/images/2310_basilika2_hyotykasviyhdistys.png,basilika.png,"Aprikoosi, Parsa, Kurkku, Munakoiso, Fenkoli, Viiniköynnös, Persikkapuu, Tomaatti","Tuoksuruuta, Mangoldi","Kärpäset, Hedelmäkärpänen, Jauhiaiset",,yrtti ja mauste
7,Chilli,https://taikametsa2.netlify.app/starden/assets/images/chilli.png,chilli.png,"Porkkana, Munakoiso, Tomaatti",,,,vihannes
8,Fenkoli,https://taikametsa2.netlify.app/starden/assets/images/1776_salaattifenkoli_hyotykasviyhdistys.png,fenkoli.png,"Basilika, Tilli, Kohlrabi, Koiruoho","Pavut, Härkäpapu, Tomaatti",Kirput,,vihannes
9,Herneet,https://taikametsa2.netlify.app/starden/assets/images/herneet.png,herneet.png,"Pavut, Punajuuri, Purasruoho, Parsakaali, Ruusukaali, Kaalit, Porkkana, Kukkakaali, Selleri, Maissi, Kurkku, Salaattia, Liperi, Meirami, Palsternakka, Peruna, Retiisi, Vadelma, Salvia, Kurpitsa, Nauris",Sipulit,,,vihannes
10,Hedelmäpuut,https://taikametsa2.netlify.app/starden/assets/images/hedelmapuut.png,hedelmapuut.png,"Ruohosipuli, Kehäkukka, Valkosipuli, Piparjuuri, Sitruunamelissa, Kehäkukka, Sinappi, Krassi, Mangoldi, Pinaatti, Pietaryrtti, Siankärsämö","Ruoho, Tomaatti, Peruna",,,hedelmä
11,Iisoppi,https://taikametsa2.netlify.app/starden/assets/images/2128_iisoppi_hyotykasviyhdistys.png,iisoppi.png,"Viiniköynnös, Retiisi, Ruusu, Tomaatti",,Perhonen,,yrtti ja mauste
12,KAALIT,https://taikametsa2.netlify.app/starden/assets/images/kaalit.png,kaalit.png,"Pavut, Härkäpapu, Bushinpavut, Kiipeilypapu, Punajuuri, Purasruoho, Kamomilla, Selleri, Korianteri, Kurkku, Tilli, Valkosipuli, Laventeli, Salaattia, Liperi, Kehäkukka, Meirami, Minttu, Krassi, Sipuli, Herneet, Pennyroyal, Peruna, Rosmariini, Salvia, Timjami","Valkosipuli, Tuoksuruuta, Mansikka, Tomaatti",Kotilot,YES,vihannes
13,Kaali,https://taikametsa2.netlify.app/starden/assets/images/kaali.png,kaali.png,"Pavut, Härkäpapu, Bushinpavut, Kiipeilypapu, Punajuuri, Purasruoho, Kamomilla, Selleri, Korianteri, Kurkku, Tilli, Valkosipuli, Laventeli, Salaattia, Liperi, Kehäkukka, Meirami, Minttu, Krassi, Sipuli, Herneet, Pennyroyal, Peruna, Rosmariini, Salvia, Timjami","Valkosipuli, Tuoksuruuta, Mansikka, Tomaatti",Kotilot,,vihannes
14,Kamomilla,https://taikametsa2.netlify.app/starden/assets/images/2129_kamomilla1_hyotykasviyhdistys.png,kamomilla.png,,Minttu,Perhonen,,yrtti ja mauste
